filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/scripts/mod/empty.c,1,0,0,0,2,1
/cmpt816/linux/init/main.c,195,44,572,75,1041,139
/cmpt816/linux/init/version.c,8,1,19,7,54,6
/cmpt816/linux/init/do_mounts.c,85,22,426,24,649,82
/cmpt816/linux/init/do_mounts_initrd.c,22,4,80,10,138,18
/cmpt816/linux/init/do_mounts_md.c,51,6,211,4,313,34
/cmpt816/linux/init/initramfs.c,23,32,526,13,659,65
/cmpt816/linux/init/calibrate.c,80,8,186,6,316,33
/cmpt816/linux/init/init_task.c,5,1,2,11,27,5
/cmpt816/linux/arch/x86/entry/syscall_64.c,6,1,5,7,33,7
/cmpt816/linux/arch/x86/entry/common.c,145,13,233,19,487,68
/cmpt816/linux/arch/x86/entry/vdso/vma.c,42,11,172,15,293,44
/cmpt816/linux/arch/x86/entry/vdso/vdso32-setup.c,19,5,37,8,95,16
/cmpt816/linux/arch/x86/entry/vdso/vclock_gettime.c,46,17,206,12,340,53
/cmpt816/linux/arch/x86/entry/vdso/vgetcpu.c,6,1,10,4,29,5
/cmpt816/linux/arch/x86/entry/vdso/vdso-image-64.c,1,2,483,3,491,4
/cmpt816/linux/arch/x86/entry/vdso/vdso32/vclock_gettime.c,4,0,0,1,33,9
/cmpt816/linux/arch/x86/entry/vdso/vdso-image-32.c,1,2,435,3,443,4
/cmpt816/linux/arch/x86/entry/vsyscall/vsyscall_gtod.c,14,2,40,3,71,12
/cmpt816/linux/arch/x86/entry/vsyscall/vsyscall_64.c,72,13,200,9,343,51
/cmpt816/linux/arch/x86/entry/syscall_32.c,5,1,5,7,31,6
/cmpt816/linux/arch/x86/ia32/sys_ia32.c,35,17,128,26,232,26
/cmpt816/linux/arch/x86/ia32/ia32_signal.c,51,12,248,25,406,72
/cmpt816/linux/arch/x86/ia32/audit.c,0,6,41,6,44,7
/cmpt816/linux/arch/x86/kernel/process_64.c,155,14,338,33,598,57
/cmpt816/linux/arch/x86/kernel/signal.c,124,27,496,27,789,122
/cmpt816/linux/arch/x86/kernel/signal_compat.c,11,2,72,2,96,11
/cmpt816/linux/arch/x86/kernel/traps.c,222,30,465,50,905,121
/cmpt816/linux/arch/x86/kernel/irq.c,114,14,331,17,542,64
/cmpt816/linux/arch/x86/kernel/irq_64.c,16,2,40,11,81,12
/cmpt816/linux/arch/x86/kernel/dumpstack_64.c,67,9,214,12,355,48
/cmpt816/linux/arch/x86/kernel/time.c,23,7,49,11,98,11
/cmpt816/linux/arch/x86/kernel/ioport.c,35,2,49,13,115,17
/cmpt816/linux/arch/x86/kernel/dumpstack.c,47,18,203,14,354,48
/cmpt816/linux/arch/x86/kernel/nmi.c,170,18,251,16,544,77
/cmpt816/linux/arch/x86/kernel/ldt.c,31,11,201,13,295,47
/cmpt816/linux/arch/x86/kernel/setup.c,217,42,684,83,1283,223
/cmpt816/linux/arch/x86/kernel/x86_init.c,10,15,101,19,144,22
/cmpt816/linux/arch/x86/kernel/i8259.c,120,27,226,22,431,55
/cmpt816/linux/arch/x86/kernel/irqinit.c,47,8,97,26,202,32
/cmpt816/linux/arch/x86/kernel/jump_label.c,40,6,78,9,145,13
/cmpt816/linux/arch/x86/kernel/irq_work.c,5,4,28,5,45,6
/cmpt816/linux/arch/x86/kernel/probe_roms.c,11,13,184,21,269,52
/cmpt816/linux/arch/x86/kernel/sys_x86_64.c,31,8,130,19,217,28
/cmpt816/linux/arch/x86/kernel/x8664_ksyms_64.c,7,0,0,8,80,14
/cmpt816/linux/arch/x86/kernel/espfix_64.c,57,4,85,10,210,34
/cmpt816/linux/arch/x86/kernel/ksysfs.c,11,20,260,9,341,56
/cmpt816/linux/arch/x86/kernel/bootflag.c,5,5,61,8,102,21
/cmpt816/linux/arch/x86/kernel/e820.c,273,40,684,15,1157,149
